Barcode	Description	Asset Number	Manufacturer	Model Number	Serial Number	Facility	Storage Location	Storage Bin Qty	Out Bin Qty	Out To	Date Out	Due Date	Funding Source	Account	Status	In Service Date	Classification	Type	Miscellaneous
JA1044	RIGHT ANGLE DRILL		MILWAUKEE	1680-20		AMPAM	SOCAL (AMPAM)									10/6/2017	POWER TOOLS	RIGHT ANGLE DRILL	
JA1045	RIGHT ANGLE DRILL		MILWAUKEE	1680-20		AMPAM	SOCAL (AMPAM)			1239.0 (AMPAM) (Responsible: Unassigned)	12/4/2018					10/6/2017	POWER TOOLS	RIGHT ANGLE DRILL	
JA1047	RIGHT ANGLE DRILL		MILWAUKEE	1680-20		AMPAM	SOCAL (AMPAM)									10/14/2017	POWER TOOLS	RIGHT ANGLE DRILL	
JA1048	RIGHT ANGLE DRILL		MILWAUKEE	1680-20		AMPAM	SOCAL (AMPAM)									10/14/2017	POWER TOOLS	RIGHT ANGLE DRILL	
JA1049	RIGHT ANGLE DRILL		MILWAUKEE	1680-20		AMPAM	SOCAL (AMPAM)			1137.0 (AMPAM) (Responsible: Unassigned)	12/10/2018					10/14/2017	POWER TOOLS	RIGHT ANGLE DRILL	
JA1051	RIGHT ANGLE DRILL		MILWAUKEE	1680-20		AMPAM	SOCAL (AMPAM)			1121.0 (AMPAM) (Responsible: Unassigned)	5/31/2018					10/25/2017	POWER TOOLS	RIGHT ANGLE DRILL	
JA1052	RIGHT ANGLE DRILL		MILWAUKEE	1680-20		AMPAM	SOCAL (AMPAM)			1151.0 (AMPAM) (Responsible: Unassigned)	10/4/2018					10/25/2017	POWER TOOLS	RIGHT ANGLE DRILL	
JA1053	RIGHT ANGLE DRILL		MILWAUKEE	1680-20		AMPAM	SOCAL (AMPAM)			1207.0 (AMPAM) (Responsible: Unassigned)	7/10/2018					10/25/2017	POWER TOOLS	RIGHT ANGLE DRILL	
JA1054	RIGHT ANGLE DRILL		MILWAUKEE	1680-20		AMPAM	SOCAL (AMPAM)			1214.0 (AMPAM) (Responsible: Unassigned)	3/6/2019					10/25/2017	POWER TOOLS	RIGHT ANGLE DRILL	
JA1055	RIGHT ANGLE DRILL		MILWAUKEE	1680-20	407DD17250000X	AMPAM	SOCAL (AMPAM)									10/25/2017	POWER TOOLS	RIGHT ANGLE DRILL	
JA1056	RIGHT ANGLE DRILL		MILWAUKEE	1680-20		AMPAM	SOCAL (AMPAM)									10/25/2017	POWER TOOLS	RIGHT ANGLE DRILL	
JA1057	RIGHT ANGLE DRILL		MILWAUKEE	1680-20		AMPAM	SOCAL (AMPAM)			1216.0 (AMPAM) (Responsible: Unassigned)	11/2/2018					10/25/2017	POWER TOOLS	RIGHT ANGLE DRILL	
JA1058	RIGHT ANGLE DRILL		MILWAUKEE	1680-20		AMPAM	SOCAL (AMPAM)									10/25/2017	POWER TOOLS	RIGHT ANGLE DRILL	
