Barcode	Description	Asset Number	Manufacturer	Model Number	Serial Number	Facility	Storage Location	Storage Bin Qty	Out Bin Qty	Out To	Date Out	Due Date	Funding Source	Account	Status	In Service Date	Classification	Type	Miscellaneous
IO625	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1180.0 (AMPAM) (Responsible: Unassigned)	9/27/2018					9/27/2018	HAND HELD TOOLS	REAMER	
IO626	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1180.0 (AMPAM) (Responsible: Unassigned)	9/27/2018					9/27/2018	HAND HELD TOOLS	REAMER	
IO627	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1215.0 (AMPAM) (Responsible: Unassigned)	10/5/2018					10/5/2018	HAND HELD TOOLS	REAMER	
IO628	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1215.0 (AMPAM) (Responsible: Unassigned)	10/5/2018					10/5/2018	HAND HELD TOOLS	REAMER	
IO629	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	10/23/2018					10/23/2018	HAND HELD TOOLS	REAMER	
IO630	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	10/23/2018					10/23/2018	HAND HELD TOOLS	REAMER	
IO631	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	10/23/2018					10/23/2018	HAND HELD TOOLS	REAMER	
IO632	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	10/23/2018					10/23/2018	HAND HELD TOOLS	REAMER	
IO633	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1199.0 (AMPAM) (Responsible: Unassigned)	10/23/2018					10/23/2018	HAND HELD TOOLS	REAMER	
IO635	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1283.0 (AMPAM) (Responsible: Unassigned)	10/31/2018					10/31/2018	HAND HELD TOOLS	REAMER	
IO636	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1283.0 (AMPAM) (Responsible: Unassigned)	10/31/2018					10/31/2018	HAND HELD TOOLS	REAMER	
IO640	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1216.0 (AMPAM) (Responsible: Unassigned)	11/8/2018					11/8/2018	HAND HELD TOOLS	REAMER	
IO641	REAMER 1/4"-1 1/4"		RIDGID	223.S		AMPAM	SOCAL (AMPAM)			1216.0 (AMPAM) (Responsible: Unassigned)	11/8/2018					11/8/2018	HAND HELD TOOLS	REAMER	
